dim,dtype,fp8,competitor,measurement,value
32,float16,False,CastedLinear,Forward Time (ms),0.05025000136811286
32,float16,False,CastedLinear,Backward Time (ms),0.6494625005871058
32,bfloat16,False,CastedLinear,Forward Time (ms),0.04715830145869404
32,bfloat16,False,CastedLinear,Backward Time (ms),0.13474590086843818
32,float32,False,CastedLinear,Forward Time (ms),0.04613329947460443
32,float32,False,CastedLinear,Backward Time (ms),0.13575000048149377
64,float16,False,CastedLinear,Forward Time (ms),0.04918329941574484
64,float16,False,CastedLinear,Backward Time (ms),0.41585419967304915
64,bfloat16,False,CastedLinear,Forward Time (ms),0.054374997853301466
64,bfloat16,False,CastedLinear,Backward Time (ms),0.1467417023377493
64,float32,False,CastedLinear,Forward Time (ms),0.06253750179894269
64,float32,False,CastedLinear,Backward Time (ms),0.16517499752808362
128,float16,False,CastedLinear,Forward Time (ms),0.0673583010211587
128,float16,False,CastedLinear,Backward Time (ms),0.4531625978415832
128,bfloat16,False,CastedLinear,Forward Time (ms),0.07283330196514726
128,bfloat16,False,CastedLinear,Backward Time (ms),0.24159169697668403
128,float32,False,CastedLinear,Forward Time (ms),0.05576249968726188
128,float32,False,CastedLinear,Backward Time (ms),0.2074375021038577
512,float16,False,CastedLinear,Forward Time (ms),0.059370798408053815
512,float16,False,CastedLinear,Backward Time (ms),0.7863250997615978
512,bfloat16,False,CastedLinear,Forward Time (ms),0.14454580086749047
512,bfloat16,False,CastedLinear,Backward Time (ms),0.46728339802939445
512,float32,False,CastedLinear,Forward Time (ms),0.07480419881176203
512,float32,False,CastedLinear,Backward Time (ms),0.15077909920364618
1024,float16,False,CastedLinear,Forward Time (ms),0.14129169867374003
1024,float16,False,CastedLinear,Backward Time (ms),0.6332749995635822
1024,bfloat16,False,CastedLinear,Forward Time (ms),0.093345798086375
1024,bfloat16,False,CastedLinear,Backward Time (ms),0.4343125008745119
1024,float32,False,CastedLinear,Forward Time (ms),0.09546249930281192
1024,float32,False,CastedLinear,Backward Time (ms),0.38451670261565596
2048,float16,False,CastedLinear,Forward Time (ms),0.30023330182302743
2048,float16,False,CastedLinear,Backward Time (ms),1.5015666984254494
2048,bfloat16,False,CastedLinear,Forward Time (ms),0.24680409987922758
2048,bfloat16,False,CastedLinear,Backward Time (ms),1.3241501001175493
2048,float32,False,CastedLinear,Forward Time (ms),0.29502499965019524
2048,float32,False,CastedLinear,Backward Time (ms),0.9480707987677306
4096,float16,False,CastedLinear,Forward Time (ms),0.7896875002188608
4096,float16,False,CastedLinear,Backward Time (ms),3.443462500581518
4096,bfloat16,False,CastedLinear,Forward Time (ms),0.8226459001889452
4096,bfloat16,False,CastedLinear,Backward Time (ms),3.2883873995160684
4096,float32,False,CastedLinear,Forward Time (ms),0.8277624991023913
4096,float32,False,CastedLinear,Backward Time (ms),3.2676917006028816
