dim,dtype,fp8,class,device,measurement,value
32,float16,False,FP8Linear,mps,Forward Time (ms),0.08658749866299331
32,float16,False,FP8Linear,mps,Backward Time (ms),1.0413290990982205
32,bfloat16,False,FP8Linear,mps,Forward Time (ms),0.0808583979960531
32,bfloat16,False,FP8Linear,mps,Backward Time (ms),0.2153666049707681
32,float32,False,FP8Linear,mps,Forward Time (ms),0.07508749840781093
32,float32,False,FP8Linear,mps,Backward Time (ms),0.3044583019800484
64,float16,False,FP8Linear,mps,Forward Time (ms),0.08335420279763639
64,float16,False,FP8Linear,mps,Backward Time (ms),0.6343332992400974
64,bfloat16,False,FP8Linear,mps,Forward Time (ms),0.07038749754428864
64,bfloat16,False,FP8Linear,mps,Backward Time (ms),0.22341670119203627
64,float32,False,FP8Linear,mps,Forward Time (ms),0.06872079684399068
64,float32,False,FP8Linear,mps,Backward Time (ms),0.21355830249376595
128,float16,False,FP8Linear,mps,Forward Time (ms),0.07615000358782709
128,float16,False,FP8Linear,mps,Backward Time (ms),0.5489541974384338
128,bfloat16,False,FP8Linear,mps,Forward Time (ms),0.0676416966598481
128,bfloat16,False,FP8Linear,mps,Backward Time (ms),0.22723330184817314
128,float32,False,FP8Linear,mps,Forward Time (ms),0.07193330093286932
128,float32,False,FP8Linear,mps,Backward Time (ms),0.22194579942151904
512,float16,False,FP8Linear,mps,Forward Time (ms),0.08309159893542528
512,float16,False,FP8Linear,mps,Backward Time (ms),0.5689917015843093
512,bfloat16,False,FP8Linear,mps,Forward Time (ms),0.0831749988719821
512,bfloat16,False,FP8Linear,mps,Backward Time (ms),0.2278874977491796
512,float32,False,FP8Linear,mps,Forward Time (ms),0.07820840110071003
512,float32,False,FP8Linear,mps,Backward Time (ms),0.22417079890146852
1024,float16,False,FP8Linear,mps,Forward Time (ms),0.12144580250605941
1024,float16,False,FP8Linear,mps,Backward Time (ms),0.7180375978350639
1024,bfloat16,False,FP8Linear,mps,Forward Time (ms),0.13100000214762986
1024,bfloat16,False,FP8Linear,mps,Backward Time (ms),0.5823958024848253
1024,float32,False,FP8Linear,mps,Forward Time (ms),0.12040419969707727
1024,float32,False,FP8Linear,mps,Backward Time (ms),0.3715623985044658
2048,float16,False,FP8Linear,mps,Forward Time (ms),0.3549083019606769
2048,float16,False,FP8Linear,mps,Backward Time (ms),1.7105708946473897
2048,bfloat16,False,FP8Linear,mps,Forward Time (ms),0.33526659826748073
2048,bfloat16,False,FP8Linear,mps,Backward Time (ms),1.0411459021270275
2048,float32,False,FP8Linear,mps,Forward Time (ms),0.2917584031820297
2048,float32,False,FP8Linear,mps,Backward Time (ms),1.2077915947884321
4096,float16,False,FP8Linear,mps,Forward Time (ms),0.7927042024675757
4096,float16,False,FP8Linear,mps,Backward Time (ms),3.577958297682926
4096,bfloat16,False,FP8Linear,mps,Forward Time (ms),0.8388917020056397
4096,bfloat16,False,FP8Linear,mps,Backward Time (ms),3.2442874973639846
4096,float32,False,FP8Linear,mps,Forward Time (ms),0.8219166018534452
4096,float32,False,FP8Linear,mps,Backward Time (ms),3.221245901659131
