dim,activation,dtype,fp8,competitor,measurement,value
128,relu,float32,False,FP8MLP,Forward Time (ms),0.17891839742660523
128,relu,float32,False,FP8MLP,Backward Time (ms),0.914313566684723
128,relu,float32,False,FP8MLP,Forward Peak Memory (GB),0.0201856
128,relu,float32,False,FP8MLP,Backward Peak Memory (GB),0.021496832
128,relu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.25404160022735595
128,relu,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.6749472379684449
128,relu,float32,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.019399168
128,relu,float32,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.0207104
128,relu,float16,False,FP8MLP,Forward Time (ms),0.18888640403747559
128,relu,float16,False,FP8MLP,Backward Time (ms),0.8949280261993409
128,relu,float16,False,FP8MLP,Forward Peak Memory (GB),0.01887488
128,relu,float16,False,FP8MLP,Backward Peak Memory (GB),0.019661824
128,relu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.48619518280029295
128,relu,float16,False,PreCompiledFP8MLP,Backward Time (ms),1.1890527725219728
128,relu,float16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.018612736
128,relu,float16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.019268608
128,relu,bfloat16,False,FP8MLP,Forward Time (ms),0.183951997756958
128,relu,bfloat16,False,FP8MLP,Backward Time (ms),0.8760927677154541
128,relu,bfloat16,False,FP8MLP,Forward Peak Memory (GB),0.01887488
128,relu,bfloat16,False,FP8MLP,Backward Peak Memory (GB),0.019661824
128,relu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.6373663902282715
128,relu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.888700771331787
128,relu,bfloat16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.018612736
128,relu,bfloat16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.019268608
128,relu2,float32,False,FP8MLP,Forward Time (ms),0.4863999843597412
128,relu2,float32,False,FP8MLP,Backward Time (ms),1.3538208484649656
128,relu2,float32,False,FP8MLP,Forward Peak Memory (GB),0.022282752
128,relu2,float32,False,FP8MLP,Backward Peak Memory (GB),0.02464256
128,relu2,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.5864448070526123
128,relu2,float32,False,PreCompiledFP8MLP,Backward Time (ms),1.0640383243560791
128,relu2,float32,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.020447744
128,relu2,float32,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.0207104
128,relu2,float16,False,FP8MLP,Forward Time (ms),0.5634047985076904
128,relu2,float16,False,FP8MLP,Backward Time (ms),1.4454784870147703
128,relu2,float16,False,FP8MLP,Forward Peak Memory (GB),0.019923456
128,relu2,float16,False,FP8MLP,Backward Peak Memory (GB),0.021234688
128,relu2,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.6544159889221192
128,relu2,float16,False,PreCompiledFP8MLP,Backward Time (ms),1.083065700531006
128,relu2,float16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.019137024
128,relu2,float16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.019268608
128,relu2,bfloat16,False,FP8MLP,Forward Time (ms),0.5285247802734375
128,relu2,bfloat16,False,FP8MLP,Backward Time (ms),1.455811309814453
128,relu2,bfloat16,False,FP8MLP,Forward Peak Memory (GB),0.019923456
128,relu2,bfloat16,False,FP8MLP,Backward Peak Memory (GB),0.021234688
128,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.632422399520874
128,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.8918015956878662
