dim,activation,dtype,fp8,competitor,measurement,value
32,relu,float16,False,FP8MLP,Forward Time (ms),0.15373750065919012
32,relu,float16,False,FP8MLP,Backward Time (ms),0.5630667001241818
32,relu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.17363329825457186
32,relu,float16,False,PreCompiledFP8MLP,Backward Time (ms),0.31140000210143626
32,relu,bfloat16,False,FP8MLP,Forward Time (ms),0.15704169927630574
32,relu,bfloat16,False,FP8MLP,Backward Time (ms),0.33170000242535025
32,relu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.13609579764306545
32,relu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.28441260219551623
32,relu,float32,False,FP8MLP,Forward Time (ms),0.10579169902484864
32,relu,float32,False,FP8MLP,Backward Time (ms),0.26408330304548144
32,relu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.11766250245273113
32,relu,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.31030829704832286
32,silu,float16,False,FP8MLP,Forward Time (ms),0.14748340181540698
32,silu,float16,False,FP8MLP,Backward Time (ms),0.3315082984045148
32,silu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.13437910238280892
32,silu,float16,False,PreCompiledFP8MLP,Backward Time (ms),0.33549589570611715
32,silu,bfloat16,False,FP8MLP,Forward Time (ms),0.14930829929653555
32,silu,bfloat16,False,FP8MLP,Backward Time (ms),0.320158401154913
32,silu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.15877500118222088
32,silu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.2532499987864867
32,silu,float32,False,FP8MLP,Forward Time (ms),0.1131500001065433
32,silu,float32,False,FP8MLP,Backward Time (ms),0.2685790997929871
32,silu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.11304999934509397
32,silu,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.2481625007931143
32,relu2,float16,False,FP8MLP,Forward Time (ms),0.21249160054139793
32,relu2,float16,False,FP8MLP,Backward Time (ms),0.46302089758682996
32,relu2,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.1247334002982825
32,relu2,float16,False,PreCompiledFP8MLP,Backward Time (ms),0.2707456995267421
32,relu2,bfloat16,False,FP8MLP,Forward Time (ms),0.2066832996206358
32,relu2,bfloat16,False,FP8MLP,Backward Time (ms),0.46117500169202685
32,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.1311458006966859
32,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.26410830032546073
32,relu2,float32,False,FP8MLP,Forward Time (ms),0.15851249918341637
32,relu2,float32,False,FP8MLP,Backward Time (ms),0.43396670080255717
32,relu2,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.1866667007561773
32,relu2,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.45075410162098706
64,relu,float16,False,FP8MLP,Forward Time (ms),0.15003340085968375
64,relu,float16,False,FP8MLP,Backward Time (ms),0.5209833005210385
64,relu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.1686041010543704
64,relu,float16,False,PreCompiledFP8MLP,Backward Time (ms),0.32795839942991734
64,relu,bfloat16,False,FP8MLP,Forward Time (ms),0.14822499942965806
64,relu,bfloat16,False,FP8MLP,Backward Time (ms),0.3267333988333121
64,relu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.1725416979752481
64,relu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.34046670189127326
64,relu,float32,False,FP8MLP,Forward Time (ms),0.12653339945245534
64,relu,float32,False,FP8MLP,Backward Time (ms),0.24991249956656247
64,relu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.13007499801460654
64,relu,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.2701042016269639
64,silu,float16,False,FP8MLP,Forward Time (ms),0.14748329995200038
64,silu,float16,False,FP8MLP,Backward Time (ms),0.30718330235686153
64,silu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.1678290980635211
64,silu,float16,False,PreCompiledFP8MLP,Backward Time (ms),0.34095840237569064
64,silu,bfloat16,False,FP8MLP,Forward Time (ms),0.17619999998714775
64,silu,bfloat16,False,FP8MLP,Backward Time (ms),0.30772909813094884
64,silu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.1996542006963864
64,silu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.304437501472421
64,silu,float32,False,FP8MLP,Forward Time (ms),0.11703750060405582
64,silu,float32,False,FP8MLP,Backward Time (ms),0.267558399355039
64,silu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.13709580234717578
64,silu,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.26712919934652746
64,relu2,float16,False,FP8MLP,Forward Time (ms),0.20682500035036355
64,relu2,float16,False,FP8MLP,Backward Time (ms),0.520066698663868
64,relu2,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.22449169773608446
64,relu2,float16,False,PreCompiledFP8MLP,Backward Time (ms),0.5145249044289812
64,relu2,bfloat16,False,FP8MLP,Forward Time (ms),0.20039170049130917
64,relu2,bfloat16,False,FP8MLP,Backward Time (ms),0.494904097286053
64,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.2229583013104275
64,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.48964169691316783
64,relu2,float32,False,FP8MLP,Forward Time (ms),0.1780749997124076
64,relu2,float32,False,FP8MLP,Backward Time (ms),0.4458542010979727
64,relu2,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.17612079973332584
64,relu2,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.4625500994734466
128,relu,float16,False,FP8MLP,Forward Time (ms),0.1565791986649856
128,relu,float16,False,FP8MLP,Backward Time (ms),0.5333583016181365
128,relu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.17267079965677112
128,relu,float16,False,PreCompiledFP8MLP,Backward Time (ms),0.32848330156411976
128,relu,bfloat16,False,FP8MLP,Forward Time (ms),0.15741660026833415
128,relu,bfloat16,False,FP8MLP,Backward Time (ms),0.3199291997589171
128,relu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.17243329784832895
128,relu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.3239875048166141
128,relu,float32,False,FP8MLP,Forward Time (ms),0.10579160007182509
128,relu,float32,False,FP8MLP,Backward Time (ms),0.2593499986687675
128,relu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.13094170135445893
128,relu,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.28775419923476875
128,silu,float16,False,FP8MLP,Forward Time (ms),0.15717910137027502
128,silu,float16,False,FP8MLP,Backward Time (ms),0.3341666975757107
128,silu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.17285409849137068
128,silu,float16,False,PreCompiledFP8MLP,Backward Time (ms),0.33934999955818057
128,silu,bfloat16,False,FP8MLP,Forward Time (ms),0.15473749954253435
128,silu,bfloat16,False,FP8MLP,Backward Time (ms),0.3155250014970079
128,silu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.18374169885646552
128,silu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.3452333010500297
128,silu,float32,False,FP8MLP,Forward Time (ms),0.11167500051669776
128,silu,float32,False,FP8MLP,Backward Time (ms),0.25786670157685876
128,silu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.1303333992836997
128,silu,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.2877875027479604
128,relu2,float16,False,FP8MLP,Forward Time (ms),0.21908750059083104
128,relu2,float16,False,FP8MLP,Backward Time (ms),0.4889999981969595
128,relu2,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.24273339950013906
128,relu2,float16,False,PreCompiledFP8MLP,Backward Time (ms),0.49796660023275763
128,relu2,bfloat16,False,FP8MLP,Forward Time (ms),0.21564589987974614
128,relu2,bfloat16,False,FP8MLP,Backward Time (ms),0.4964707011822611
128,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.2384541992796585
128,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.48397500067949295
128,relu2,float32,False,FP8MLP,Forward Time (ms),0.15505000192206353
128,relu2,float32,False,FP8MLP,Backward Time (ms),0.44377500016707927
128,relu2,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.17318750033155084
128,relu2,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.4489582992391661
512,relu,float16,False,FP8MLP,Forward Time (ms),0.28037920128554106
512,relu,float16,False,FP8MLP,Backward Time (ms),2.472941597807221
512,relu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.27802919794339687
512,relu,float16,False,PreCompiledFP8MLP,Backward Time (ms),0.8183625031961128
512,relu,bfloat16,False,FP8MLP,Forward Time (ms),0.2819832996465266
512,relu,bfloat16,False,FP8MLP,Backward Time (ms),0.8789334009634331
512,relu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.27558339934330434
512,relu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.9021083009429276
512,relu,float32,False,FP8MLP,Forward Time (ms),0.20601660071406513
512,relu,float32,False,FP8MLP,Backward Time (ms),0.7100583985447884
512,relu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.25512500142212957
512,relu,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.696124997921288
512,silu,float16,False,FP8MLP,Forward Time (ms),0.2865042013581842
512,silu,float16,False,FP8MLP,Backward Time (ms),1.194495800882578
512,silu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.31959579791873693
512,silu,float16,False,PreCompiledFP8MLP,Backward Time (ms),1.1606334010139108
512,silu,bfloat16,False,FP8MLP,Forward Time (ms),0.35619999980553985
512,silu,bfloat16,False,FP8MLP,Backward Time (ms),1.233150000916794
512,silu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.3551375004462898
512,silu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),1.2215666007250547
512,silu,float32,False,FP8MLP,Forward Time (ms),0.20752919954247773
512,silu,float32,False,FP8MLP,Backward Time (ms),0.8541707997210324
512,silu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.2601708984002471
512,silu,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.8327916031703353
512,relu2,float16,False,FP8MLP,Forward Time (ms),0.3363708994584158
512,relu2,float16,False,FP8MLP,Backward Time (ms),1.2298040994210169
512,relu2,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.32961250108201057
512,relu2,float16,False,PreCompiledFP8MLP,Backward Time (ms),1.2230916996486485
512,relu2,bfloat16,False,FP8MLP,Forward Time (ms),0.3682832990307361
512,relu2,bfloat16,False,FP8MLP,Backward Time (ms),1.1689625011058524
512,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.27215839945711195
512,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),0.8670540992170572
512,relu2,float32,False,FP8MLP,Forward Time (ms),0.2326584013644606
