dim,activation,dtype,fp8,competitor,measurement,value
32,relu,float16,False,GatedFP8MLP,Forward Time (ms),0.22588330029975623
32,relu,float16,False,GatedFP8MLP,Backward Time (ms),0.6728000997100025
32,relu,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.1776541001163423
32,relu,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.3941750997910276
32,relu,bfloat16,False,GatedFP8MLP,Forward Time (ms),0.23101249826140702
32,relu,bfloat16,False,GatedFP8MLP,Backward Time (ms),0.45898329990450293
32,relu,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.17604169843252748
32,relu,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.3617875016061589
32,relu,float32,False,GatedFP8MLP,Forward Time (ms),0.16439169994555414
32,relu,float32,False,GatedFP8MLP,Backward Time (ms),0.4075790988281369
32,relu,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.1492040988523513
32,relu,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.34296670055482537
32,silu,float16,False,GatedFP8MLP,Forward Time (ms),0.24413749924860895
32,silu,float16,False,GatedFP8MLP,Backward Time (ms),0.44948750000912696
32,silu,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.17265840142499655
32,silu,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.38330409734044224
32,silu,bfloat16,False,GatedFP8MLP,Forward Time (ms),0.21985000057611614
32,silu,bfloat16,False,GatedFP8MLP,Backward Time (ms),0.44321250170469284
32,silu,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.1742541993735358
32,silu,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.3734208003152162
32,silu,float32,False,GatedFP8MLP,Forward Time (ms),0.1591250009369105
32,silu,float32,False,GatedFP8MLP,Backward Time (ms),0.398995797149837
32,silu,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.14945830043870956
32,silu,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.3436832979787141
32,relu2,float16,False,GatedFP8MLP,Forward Time (ms),0.28686249861493707
32,relu2,float16,False,GatedFP8MLP,Backward Time (ms),0.606854201760143
32,relu2,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.21115000126883388
32,relu2,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.3034041990758851
32,relu2,bfloat16,False,GatedFP8MLP,Forward Time (ms),0.2700707991607487
32,relu2,bfloat16,False,GatedFP8MLP,Backward Time (ms),0.6048749986803159
32,relu2,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.1724458998069167
32,relu2,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.36365830164868385
32,relu2,float32,False,GatedFP8MLP,Forward Time (ms),0.22162499953992665
32,relu2,float32,False,GatedFP8MLP,Backward Time (ms),0.5210542003624141
32,relu2,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.25768749765120447
32,relu2,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.5266250023851171
64,relu,float16,False,GatedFP8MLP,Forward Time (ms),0.23269589873962104
64,relu,float16,False,GatedFP8MLP,Backward Time (ms),0.619658301002346
64,relu,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.24864999868441373
64,relu,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.47192499914672226
64,relu,bfloat16,False,GatedFP8MLP,Forward Time (ms),0.24713750171940774
64,relu,bfloat16,False,GatedFP8MLP,Backward Time (ms),0.44980419625062495
64,relu,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.24103329924400896
64,relu,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.46127499954309314
64,relu,float32,False,GatedFP8MLP,Forward Time (ms),0.16277079994324595
64,relu,float32,False,GatedFP8MLP,Backward Time (ms),0.40560839988756925
64,relu,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.185650002094917
64,relu,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.3947791992686689
64,silu,float16,False,GatedFP8MLP,Forward Time (ms),0.22825420019216835
64,silu,float16,False,GatedFP8MLP,Backward Time (ms),0.46745410072617233
64,silu,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.24523750180378556
64,silu,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.4543583985650912
64,silu,bfloat16,False,GatedFP8MLP,Forward Time (ms),0.22472080017905682
64,silu,bfloat16,False,GatedFP8MLP,Backward Time (ms),0.4538749984931201
64,silu,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.24024579906836152
64,silu,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.46011669910512865
64,silu,float32,False,GatedFP8MLP,Forward Time (ms),0.15901250008028
64,silu,float32,False,GatedFP8MLP,Backward Time (ms),0.3788375004660338
64,silu,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.17831250152084976
