dim,activation,dtype,competitor,measurement,value
128,relu,float32,GatedMLP,Forward Time (ms),0.2811903953552246
128,relu,float32,GatedMLP,Backward Time (ms),1.1195232391357421
128,relu,float32,GatedMLP,Forward Peak Memory (GB),0.021758464
128,relu,float32,GatedMLP,Backward Peak Memory (GB),0.023856128
128,relu,float32,PreCompiledGatedMLP,Forward Time (ms),0.43130879402160643
128,relu,float32,PreCompiledGatedMLP,Backward Time (ms),1.0998783588409424
128,relu,float32,PreCompiledGatedMLP,Forward Peak Memory (GB),0.021758464
128,relu,float32,PreCompiledGatedMLP,Backward Peak Memory (GB),0.022807552
128,relu,float32,TritonGatedMLP,Forward Time (ms),3.9891712188720705
128,relu,float32,TritonGatedMLP,Backward Time (ms),0.15690231323242188
128,relu,float32,TritonGatedMLP,Forward Peak Memory (GB),0.02280704
128,relu,float32,TritonGatedMLP,Backward Peak Memory (GB),0.02595328
128,relu,float16,GatedMLP,Forward Time (ms),0.30607359409332274
128,relu,float16,GatedMLP,Backward Time (ms),1.1378687620162964
128,relu,float16,GatedMLP,Forward Peak Memory (GB),0.019399168
128,relu,float16,GatedMLP,Backward Peak Memory (GB),0.020448256
128,relu,float16,PreCompiledGatedMLP,Forward Time (ms),0.4730559825897217
128,relu,float16,PreCompiledGatedMLP,Backward Time (ms),1.2049728870391845
128,relu,float16,PreCompiledGatedMLP,Forward Peak Memory (GB),0.019399168
128,relu,float16,PreCompiledGatedMLP,Backward Peak Memory (GB),0.019923968
128,relu,float16,TritonGatedMLP,Forward Time (ms),2.000649642944336
128,relu,float16,TritonGatedMLP,Backward Time (ms),0.009871864318847567
128,relu,float16,TritonGatedMLP,Forward Peak Memory (GB),0.019923456
128,relu,float16,TritonGatedMLP,Backward Peak Memory (GB),0.021496832
128,relu,bfloat16,GatedMLP,Forward Time (ms),0.36880319118499755
128,relu,bfloat16,GatedMLP,Backward Time (ms),1.1826848268508912
128,relu,bfloat16,GatedMLP,Forward Peak Memory (GB),0.019399168
128,relu,bfloat16,GatedMLP,Backward Peak Memory (GB),0.020448256
128,relu,bfloat16,PreCompiledGatedMLP,Forward Time (ms),0.532969617843628
128,relu,bfloat16,PreCompiledGatedMLP,Backward Time (ms),1.3061439990997314
128,relu,bfloat16,PreCompiledGatedMLP,Forward Peak Memory (GB),0.019399168
128,relu,bfloat16,PreCompiledGatedMLP,Backward Peak Memory (GB),0.019923968
128,relu,bfloat16,TritonGatedMLP,Forward Time (ms),1.963212776184082
128,relu,bfloat16,TritonGatedMLP,Backward Time (ms),0.012185668945312367
128,relu,bfloat16,TritonGatedMLP,Forward Peak Memory (GB),0.019923456
128,relu,bfloat16,TritonGatedMLP,Backward Peak Memory (GB),0.021496832
128,relu2,float32,GatedMLP,Forward Time (ms),0.5299200057983399
128,relu2,float32,GatedMLP,Backward Time (ms),1.4684223175048827
128,relu2,float32,GatedMLP,Forward Peak Memory (GB),0.023855616
128,relu2,float32,GatedMLP,Backward Peak Memory (GB),0.02595328
128,relu2,float32,PreCompiledGatedMLP,Forward Time (ms),0.5882527828216553
