dim,hidden_mult,activation,dtype,fp8,class,device,measurement,value
128,2,relu,float32,False,GatedMLP,mps,Forward Time (ms),0.2850458025932312
128,2,relu,float32,False,GatedMLP,mps,Backward Time (ms),0.6450292014051229
128,2,relu,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.27492500375956297
128,2,relu,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5968999932520092
128,2,relu,float16,False,GatedMLP,mps,Forward Time (ms),0.3707457974087447
128,2,relu,float16,False,GatedMLP,mps,Backward Time (ms),0.9485626011155546
128,2,relu,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.4534957988653332
128,2,relu,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.4336084006354213
128,2,relu,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.3660416987258941
128,2,relu,bfloat16,False,GatedMLP,mps,Backward Time (ms),0.7903749006800354
128,2,relu,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.2937167009804398
128,2,relu,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.6088499969337136
128,2,relu2,float32,False,GatedMLP,mps,Forward Time (ms),0.3611791005823761
128,2,relu2,float32,False,GatedMLP,mps,Backward Time (ms),0.9393043001182377
128,2,relu2,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.23502919939346611
128,2,relu2,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5866042047273368
128,2,relu2,float16,False,GatedMLP,mps,Forward Time (ms),0.4436457995325327
128,2,relu2,float16,False,GatedMLP,mps,Backward Time (ms),1.085233298363164
128,2,relu2,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.2928457979578525
128,2,relu2,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5776209000032395
128,2,relu2,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.49606249667704105
128,2,relu2,bfloat16,False,GatedMLP,mps,Backward Time (ms),1.0722209059167653
128,2,relu2,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.3326042031403631
128,2,relu2,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5589165957644582
128,2,silu,float32,False,GatedMLP,mps,Forward Time (ms),0.27560419985093176
128,2,silu,float32,False,GatedMLP,mps,Backward Time (ms),1.1271708004642278
128,2,silu,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.28164160321466625
128,2,silu,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5518166988622397
128,2,silu,float16,False,GatedMLP,mps,Forward Time (ms),0.3921499999705702
128,2,silu,float16,False,GatedMLP,mps,Backward Time (ms),0.7865749998018146
128,2,silu,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.2844958973582834
128,2,silu,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.6203541008289903
128,2,silu,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.37213339819572866
128,2,silu,bfloat16,False,GatedMLP,mps,Backward Time (ms),0.8036250015720725
128,2,silu,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.2729416999500245
128,2,silu,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5746375012677163
128,4,relu,float32,False,GatedMLP,mps,Forward Time (ms),0.29517500079236925
128,4,relu,float32,False,GatedMLP,mps,Backward Time (ms),1.3305499975103885
128,4,relu,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.2911374962422997
128,4,relu,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5520750011783093
128,4,relu,float16,False,GatedMLP,mps,Forward Time (ms),0.38343339692801237
128,4,relu,float16,False,GatedMLP,mps,Backward Time (ms),0.8220624004025012
128,4,relu,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.3138875006698072
128,4,relu,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5848500004503876
128,4,relu,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.3594374982640147
128,4,relu,bfloat16,False,GatedMLP,mps,Backward Time (ms),0.8269916987046599
128,4,relu,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.31343750306405127
128,4,relu,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5622583965305239
128,4,relu2,float32,False,GatedMLP,mps,Forward Time (ms),0.39295830065384507
128,4,relu2,float32,False,GatedMLP,mps,Backward Time (ms),1.0031208978034556
