dim,activation,dtype,competitor,measurement,value
128,relu,float32,MLP,Forward Time (ms),0.12144320011138916
128,relu,float32,MLP,Backward Time (ms),0.7549792051315307
128,relu,float32,MLP,Forward Peak Memory (GB),0.0201856
128,relu,float32,MLP,Backward Peak Memory (GB),0.021496832
128,relu,float32,PreCompiledMLP,Forward Time (ms),0.40325121879577636
128,relu,float32,PreCompiledMLP,Backward Time (ms),1.249190378189087
128,relu,float32,PreCompiledMLP,Forward Peak Memory (GB),0.019399168
128,relu,float32,PreCompiledMLP,Backward Peak Memory (GB),0.0207104
128,relu,float16,MLP,Forward Time (ms),0.24594879150390625
128,relu,float16,MLP,Backward Time (ms),0.9459872245788574
128,relu,float16,MLP,Forward Peak Memory (GB),0.018612736
128,relu,float16,MLP,Backward Peak Memory (GB),0.019268608
128,relu,float16,PreCompiledMLP,Forward Time (ms),0.5062784194946289
128,relu,float16,PreCompiledMLP,Backward Time (ms),0.9016831398010253
128,relu,float16,PreCompiledMLP,Forward Peak Memory (GB),0.01821952
128,relu,float16,PreCompiledMLP,Backward Peak Memory (GB),0.018875392
128,relu,bfloat16,MLP,Forward Time (ms),0.2267359972000122
128,relu,bfloat16,MLP,Backward Time (ms),0.8618783712387084
128,relu,bfloat16,MLP,Forward Peak Memory (GB),0.018612736
128,relu,bfloat16,MLP,Backward Peak Memory (GB),0.019268608
128,relu,bfloat16,PreCompiledMLP,Forward Time (ms),0.5176415920257569
128,relu,bfloat16,PreCompiledMLP,Backward Time (ms),0.8736928462982176
128,relu,bfloat16,PreCompiledMLP,Forward Peak Memory (GB),0.01821952
128,relu,bfloat16,PreCompiledMLP,Backward Peak Memory (GB),0.018875392
128,relu2,float32,MLP,Forward Time (ms),0.38092799186706544
128,relu2,float32,MLP,Backward Time (ms),1.189695978164673
128,relu2,float32,MLP,Forward Peak Memory (GB),0.022282752
128,relu2,float32,MLP,Backward Peak Memory (GB),0.02464256
128,relu2,float32,PreCompiledMLP,Forward Time (ms),0.5075136184692383
128,relu2,float32,PreCompiledMLP,Backward Time (ms),0.9889632225036621
