dim,activation,dtype,competitor,measurement,value
32,relu,float16,MLP,Forward Time (ms),0.14282080010161735
32,relu,float16,MLP,Backward Time (ms),0.7402583003567997
32,relu,float16,PreCompiledMLP,Forward Time (ms),0.13148750003892928
32,relu,float16,PreCompiledMLP,Backward Time (ms),0.3604958998039365
32,relu,bfloat16,MLP,Forward Time (ms),0.13079169948468916
32,relu,bfloat16,MLP,Backward Time (ms),0.645029100269312
32,relu,bfloat16,PreCompiledMLP,Forward Time (ms),0.12931250021210872
32,relu,bfloat16,PreCompiledMLP,Backward Time (ms),0.22805409971624613
32,relu,float32,MLP,Forward Time (ms),0.11287079978501424
32,relu,float32,MLP,Backward Time (ms),0.6559875000675675
32,relu,float32,PreCompiledMLP,Forward Time (ms),0.132741699781036
32,relu,float32,PreCompiledMLP,Backward Time (ms),0.23603330046171322
32,silu,float16,MLP,Forward Time (ms),0.1211499999044463
32,silu,float16,MLP,Backward Time (ms),0.24398750028922223
32,silu,float16,PreCompiledMLP,Forward Time (ms),0.12741250029648654
32,silu,float16,PreCompiledMLP,Backward Time (ms),0.22600419979426078
32,silu,bfloat16,MLP,Forward Time (ms),0.1131958000769373
32,silu,bfloat16,MLP,Backward Time (ms),0.29802089993609115
32,silu,bfloat16,PreCompiledMLP,Forward Time (ms),0.12945409980602562
32,silu,bfloat16,PreCompiledMLP,Backward Time (ms),0.2521458998671733
32,silu,float32,MLP,Forward Time (ms),0.11940830008825287
32,silu,float32,MLP,Backward Time (ms),0.3124750997812953
32,silu,float32,PreCompiledMLP,Forward Time (ms),0.12568749953061342
32,silu,float32,PreCompiledMLP,Backward Time (ms),0.23395000025629997
32,relu2,float16,MLP,Forward Time (ms),0.15710840016254224
32,relu2,float16,MLP,Backward Time (ms),0.46772909990977496
32,relu2,float16,PreCompiledMLP,Forward Time (ms),0.12695420009549707
32,relu2,float16,PreCompiledMLP,Backward Time (ms),0.24524999971617945
32,relu2,bfloat16,MLP,Forward Time (ms),0.18639589980011806
32,relu2,bfloat16,MLP,Backward Time (ms),0.41789580063777976
32,relu2,bfloat16,PreCompiledMLP,Forward Time (ms),0.1333791995421052
32,relu2,bfloat16,PreCompiledMLP,Backward Time (ms),0.22457490049418993
32,relu2,float32,MLP,Forward Time (ms),0.16350839941878803
32,relu2,float32,MLP,Backward Time (ms),0.43677490029949695
32,relu2,float32,PreCompiledMLP,Forward Time (ms),0.18029169950750656
32,relu2,float32,PreCompiledMLP,Backward Time (ms),0.5111875005241018
64,relu,float16,MLP,Forward Time (ms),0.10925419992418028
64,relu,float16,MLP,Backward Time (ms),0.6596958002774045
