dim,hidden_mult,activation,dtype,fp8,class,device,measurement,value
128,2,relu,float32,False,GatedMLP,mps,Forward Time (ms),0.2934791991719976
128,2,relu,float32,False,GatedMLP,mps,Backward Time (ms),0.7668416015803814
128,2,relu,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.25369999930262566
128,2,relu,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5655375003698282
128,2,relu,float16,False,GatedMLP,mps,Forward Time (ms),0.3662999995867722
128,2,relu,float16,False,GatedMLP,mps,Backward Time (ms),0.7813457996235229
128,2,relu,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.2863542002160102
128,2,relu,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5908416991587728
128,2,relu,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.37219579971861094
128,2,relu,bfloat16,False,GatedMLP,mps,Backward Time (ms),0.7921209005871788
128,2,relu,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.29565000004367903
128,2,relu,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5861124998773448
128,2,relu2,float32,False,GatedMLP,mps,Forward Time (ms),0.37325830053305253
128,2,relu2,float32,False,GatedMLP,mps,Backward Time (ms),0.9344083999167196
128,2,relu2,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.25543340016156435
128,2,relu2,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5691206999472342
128,2,relu2,float16,False,GatedMLP,mps,Forward Time (ms),0.4561042005661875
128,2,relu2,float16,False,GatedMLP,mps,Backward Time (ms),1.0332290999940597
128,2,relu2,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.2768082995316945
128,2,relu2,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5921709001995623
128,2,relu2,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.4566917006741278
128,2,relu2,bfloat16,False,GatedMLP,mps,Backward Time (ms),1.0583166003925726
128,2,relu2,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.30306669941637665
128,2,relu2,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5734833001042716
128,2,silu,float32,False,GatedMLP,mps,Forward Time (ms),0.42484159930609167
128,2,silu,float32,False,GatedMLP,mps,Backward Time (ms),0.5163542009540834
128,2,silu,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.2574250000179745
128,2,silu,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5612334003672004
128,2,silu,float16,False,GatedMLP,mps,Forward Time (ms),0.3501666011288762
128,2,silu,float16,False,GatedMLP,mps,Backward Time (ms),0.7770791984512471
128,2,silu,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.27645840018521994
128,2,silu,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.6035208003595471
128,2,silu,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.3633165993960574
128,2,silu,bfloat16,False,GatedMLP,mps,Backward Time (ms),0.7743334004771896
128,2,silu,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.30525420006597415
128,2,silu,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5735582992201671
128,4,relu,float32,False,GatedMLP,mps,Forward Time (ms),0.2970916000776924
128,4,relu,float32,False,GatedMLP,mps,Backward Time (ms),1.322925099520944
128,4,relu,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.28946250095032156
128,4,relu,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5783915985375643
128,4,relu,float16,False,GatedMLP,mps,Forward Time (ms),0.39977920096134767
128,4,relu,float16,False,GatedMLP,mps,Backward Time (ms),0.7701082999119535
128,4,relu,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.300325000716839
128,4,relu,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5834249997860752
128,4,relu,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.44592920021386817
128,4,relu,bfloat16,False,GatedMLP,mps,Backward Time (ms),0.6974749994697049
128,4,relu,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.2887541995733045
128,4,relu,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5737040992244147
128,4,relu2,float32,False,GatedMLP,mps,Forward Time (ms),0.38988750020507723
128,4,relu2,float32,False,GatedMLP,mps,Backward Time (ms),0.9071709006093442
128,4,relu2,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.2825333009241149
128,4,relu2,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5495666977367364
128,4,relu2,float16,False,GatedMLP,mps,Forward Time (ms),0.47871659917291254
128,4,relu2,float16,False,GatedMLP,mps,Backward Time (ms),1.003533400944434
128,4,relu2,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.319912499981001
128,4,relu2,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.550554200890474
128,4,relu2,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.5710833997000009
128,4,relu2,bfloat16,False,GatedMLP,mps,Backward Time (ms),0.9404623997397721
