dim,hidden_mult,activation,dtype,fp8,class,device,measurement,value
128,2,relu,float32,False,MLP,mps,Forward Time (ms),0.1699250002275221
128,2,relu,float32,False,MLP,mps,Backward Time (ms),0.4598957995767705
128,2,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.1874250010587275
128,2,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.47262909793062136
128,2,relu,float16,False,MLP,mps,Forward Time (ms),0.24461669963784516
128,2,relu,float16,False,MLP,mps,Backward Time (ms),0.5681458002072759
128,2,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.20605830068234354
128,2,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.49308329907944426
128,2,relu,bfloat16,False,MLP,mps,Forward Time (ms),0.24753339966991916
128,2,relu,bfloat16,False,MLP,mps,Backward Time (ms),0.5893458001082763
128,2,relu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.2368665998801589
128,2,relu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.4720668002846651
128,2,relu2,float32,False,MLP,mps,Forward Time (ms),0.28189580043544993
128,2,relu2,float32,False,MLP,mps,Backward Time (ms),0.7320042001083493
128,2,relu2,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.19291670032544062
128,2,relu2,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.47752079990459606
128,2,relu2,float16,False,MLP,mps,Forward Time (ms),0.36419579992070794
128,2,relu2,float16,False,MLP,mps,Backward Time (ms),0.7923917000880465
128,2,relu2,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.20574590016622096
128,2,relu2,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.48618329892633483
128,2,relu2,bfloat16,False,MLP,mps,Forward Time (ms),0.3505000000586733
128,2,relu2,bfloat16,False,MLP,mps,Backward Time (ms),0.8136417003697716
128,2,relu2,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.22682080016238615
128,2,relu2,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.4693249997217208
128,2,silu,float32,False,MLP,mps,Forward Time (ms),0.1772582996636629
128,2,silu,float32,False,MLP,mps,Backward Time (ms),0.4850083001656458
128,2,silu,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.2103207996697165
128,2,silu,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.44750840024789795
128,2,silu,float16,False,MLP,mps,Forward Time (ms),0.26197920087724924
128,2,silu,float16,False,MLP,mps,Backward Time (ms),0.5432873993413523
128,2,silu,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.21663329971488565
128,2,silu,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.47861259954515845
128,2,silu,bfloat16,False,MLP,mps,Forward Time (ms),0.2661833001184277
128,2,silu,bfloat16,False,MLP,mps,Backward Time (ms),0.5228958994848654
128,2,silu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.34471250110073015
128,2,silu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.4526165997958742
128,4,relu,float32,False,MLP,mps,Forward Time (ms),0.3091457998380065
128,4,relu,float32,False,MLP,mps,Backward Time (ms),1.155200001085177
128,4,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.3322667005704716
128,4,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.4470707994187251
128,4,relu,float16,False,MLP,mps,Forward Time (ms),0.3367790995980613
128,4,relu,float16,False,MLP,mps,Backward Time (ms),0.536725101119373
128,4,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.3523583000060171
128,4,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.42629170056898147
128,4,relu,bfloat16,False,MLP,mps,Forward Time (ms),0.446083300630562
128,4,relu,bfloat16,False,MLP,mps,Backward Time (ms),0.35363339848117903
128,4,relu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.2854042002581991
128,4,relu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.4225666998536326
128,4,relu2,float32,False,MLP,mps,Forward Time (ms),0.3810833004536107
128,4,relu2,float32,False,MLP,mps,Backward Time (ms),0.6133916991529986
128,4,relu2,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.33737910125637427
128,4,relu2,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.435729198215995
128,4,relu2,float16,False,MLP,mps,Forward Time (ms),0.5405625008279458
128,4,relu2,float16,False,MLP,mps,Backward Time (ms),0.555487499514129
128,4,relu2,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.23766670055920258
128,4,relu2,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.41971669998019934
128,4,relu2,bfloat16,False,MLP,mps,Forward Time (ms),0.4349082999397069
128,4,relu2,bfloat16,False,MLP,mps,Backward Time (ms),1.0029124998254701
128,4,relu2,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.5161167006008327
128,4,relu2,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.3763457993045449
128,4,silu,float32,False,MLP,mps,Forward Time (ms),0.21529579971684143
128,4,silu,float32,False,MLP,mps,Backward Time (ms),0.4012875011540018
128,4,silu,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.24131249956553802
128,4,silu,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.41840420017251745
128,4,silu,float16,False,MLP,mps,Forward Time (ms),0.28211669996380806
128,4,silu,float16,False,MLP,mps,Backward Time (ms),0.4958665987942368
128,4,silu,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.31647080031689256
128,4,silu,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.5006834006053396
128,4,silu,bfloat16,False,MLP,mps,Forward Time (ms),0.5165416994714178
128,4,silu,bfloat16,False,MLP,mps,Backward Time (ms),0.85185000061756
128,4,silu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.29219169955467805
128,4,silu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.4040707994136028
128,8,relu,float32,False,MLP,mps,Forward Time (ms),0.3611833992181346
128,8,relu,float32,False,MLP,mps,Backward Time (ms),1.3596916003734805
128,8,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.3519958001561463
128,8,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.4513042003964074
128,8,relu,float16,False,MLP,mps,Forward Time (ms),0.3337125002872199
128,8,relu,float16,False,MLP,mps,Backward Time (ms),0.49997499882010743
128,8,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.5277874995954335
128,8,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.4388917004689574
128,8,relu,bfloat16,False,MLP,mps,Forward Time (ms),0.44971669994993135
128,8,relu,bfloat16,False,MLP,mps,Backward Time (ms),0.6241499999305233
128,8,relu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.3494916993076913
128,8,relu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.45979169954080135
128,8,relu2,float32,False,MLP,mps,Forward Time (ms),0.47206669987645
128,8,relu2,float32,False,MLP,mps,Backward Time (ms),0.6723749000229873
128,8,relu2,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.3448041999945417
128,8,relu2,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.4461748991161585
128,8,relu2,float16,False,MLP,mps,Forward Time (ms),0.7685707998462021
128,8,relu2,float16,False,MLP,mps,Backward Time (ms),0.8192625013180077
128,8,relu2,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.5608791994745843
128,8,relu2,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.40734990034252405
128,8,relu2,bfloat16,False,MLP,mps,Forward Time (ms),0.7013749986072071
128,8,relu2,bfloat16,False,MLP,mps,Backward Time (ms),0.969816702126991
128,8,relu2,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.5369916005292907
128,8,relu2,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),1.0031416997662745
128,8,silu,float32,False,MLP,mps,Forward Time (ms),0.8223875003750436
128,8,silu,float32,False,MLP,mps,Backward Time (ms),0.35750829993048683
128,8,silu,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.5043083991040476
128,8,silu,float32,False,PreCompiledMLP,mps,Backward Time (ms),1.043029100401327
128,8,silu,float16,False,MLP,mps,Forward Time (ms),0.3507082990836352
128,8,silu,float16,False,MLP,mps,Backward Time (ms),0.5241917009698227
128,8,silu,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.38814169965917245
128,8,silu,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.433037499897182
128,8,silu,bfloat16,False,MLP,mps,Forward Time (ms),0.6070875009754673
128,8,silu,bfloat16,False,MLP,mps,Backward Time (ms),0.9266875000321306
128,8,silu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.5450166994705796
128,8,silu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.8227417012676597
512,2,relu,float32,False,MLP,mps,Forward Time (ms),1.2114291996113025
512,2,relu,float32,False,MLP,mps,Backward Time (ms),2.1476624999195337
512,2,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),1.2750583002343774
512,2,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.7315459006349556
512,2,relu,float16,False,MLP,mps,Forward Time (ms),0.9220791005645879
512,2,relu,float16,False,MLP,mps,Backward Time (ms),0.861008399806451
512,2,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.722424998821225
512,2,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.9792833006940782
512,2,relu,bfloat16,False,MLP,mps,Forward Time (ms),1.2989875001949258
512,2,relu,bfloat16,False,MLP,mps,Backward Time (ms),1.4062709000427276
