dim,dtype,fp8,class,device,measurement,value
32,float16,False,FP8Linear,mps,Forward Time (ms),0.09246249974239618
32,float16,False,FP8Linear,mps,Backward Time (ms),0.973774999147281
32,bfloat16,False,FP8Linear,mps,Forward Time (ms),0.072412499866914
32,bfloat16,False,FP8Linear,mps,Backward Time (ms),0.22400000016205013
32,float32,False,FP8Linear,mps,Forward Time (ms),0.07355839916272089
32,float32,False,FP8Linear,mps,Backward Time (ms),0.2723250014241785
64,float16,False,FP8Linear,mps,Forward Time (ms),0.07467079994967207
64,float16,False,FP8Linear,mps,Backward Time (ms),0.5521334009245038
64,bfloat16,False,FP8Linear,mps,Forward Time (ms),0.07474590092897415
64,bfloat16,False,FP8Linear,mps,Backward Time (ms),0.21404579892987385
64,float32,False,FP8Linear,mps,Forward Time (ms),0.07442079950124025
64,float32,False,FP8Linear,mps,Backward Time (ms),0.21709169959649444
128,float16,False,FP8Linear,mps,Forward Time (ms),0.07909590058261529
128,float16,False,FP8Linear,mps,Backward Time (ms),0.5584665996138938
128,bfloat16,False,FP8Linear,mps,Forward Time (ms),0.07547080022050068
128,bfloat16,False,FP8Linear,mps,Backward Time (ms),0.22585839906241745
128,float32,False,FP8Linear,mps,Forward Time (ms),0.08314580045407638
128,float32,False,FP8Linear,mps,Backward Time (ms),0.2156542002921924
512,float16,False,FP8Linear,mps,Forward Time (ms),0.09299160010414198
512,float16,False,FP8Linear,mps,Backward Time (ms),0.6084417007514276
512,bfloat16,False,FP8Linear,mps,Forward Time (ms),0.08697910088812932
512,bfloat16,False,FP8Linear,mps,Backward Time (ms),0.2363083985983394
512,float32,False,FP8Linear,mps,Forward Time (ms),0.09592090063961223
512,float32,False,FP8Linear,mps,Backward Time (ms),0.21963319886708632
1024,float16,False,FP8Linear,mps,Forward Time (ms),0.1335082997684367
1024,float16,False,FP8Linear,mps,Backward Time (ms),0.7978792011272162
1024,bfloat16,False,FP8Linear,mps,Forward Time (ms),0.13636249932460487
1024,bfloat16,False,FP8Linear,mps,Backward Time (ms),0.3859042015392333
1024,float32,False,FP8Linear,mps,Forward Time (ms),0.13477500033332035
1024,float32,False,FP8Linear,mps,Backward Time (ms),0.39278329932130873
2048,float16,False,FP8Linear,mps,Forward Time (ms),0.38804159994469956
2048,float16,False,FP8Linear,mps,Backward Time (ms),1.7234459010069259
2048,bfloat16,False,FP8Linear,mps,Forward Time (ms),0.2921415987657383
2048,bfloat16,False,FP8Linear,mps,Backward Time (ms),1.0982834006426856
2048,float32,False,FP8Linear,mps,Forward Time (ms),0.260583299677819
2048,float32,False,FP8Linear,mps,Backward Time (ms),0.8895876002497971
4096,float16,False,FP8Linear,mps,Forward Time (ms),0.859324999328237
4096,float16,False,FP8Linear,mps,Backward Time (ms),3.405820799525827
4096,bfloat16,False,FP8Linear,mps,Forward Time (ms),0.7887915999162942
4096,bfloat16,False,FP8Linear,mps,Backward Time (ms),3.220112501003314
4096,float32,False,FP8Linear,mps,Forward Time (ms),0.8490833002724685
4096,float32,False,FP8Linear,mps,Backward Time (ms),3.2315958000253886
