dim,dtype,fp8,class,device,measurement,value
32,float16,False,FP8Linear,cuda,Forward Time (ms),0.04843519926071167
32,float16,False,FP8Linear,cuda,Backward Time (ms),1.2643327832221984
32,float16,False,FP8Linear,cuda,Forward Peak Memory (GB),0.017045504
32,float16,False,FP8Linear,cuda,Backward Peak Memory (GB),0.017050112
32,bfloat16,False,FP8Linear,cuda,Forward Time (ms),0.045875200629234315
32,bfloat16,False,FP8Linear,cuda,Backward Time (ms),0.2041855961084366
32,bfloat16,False,FP8Linear,cuda,Forward Peak Memory (GB),0.017045504
32,bfloat16,False,FP8Linear,cuda,Backward Peak Memory (GB),0.017050112
32,float32,False,FP8Linear,cuda,Forward Time (ms),0.05529599785804749
32,float32,False,FP8Linear,cuda,Backward Time (ms),0.24238080382347107
32,float32,False,FP8Linear,cuda,Forward Peak Memory (GB),0.017045504
32,float32,False,FP8Linear,cuda,Backward Peak Memory (GB),0.017050112
64,float16,False,FP8Linear,cuda,Forward Time (ms),0.054476797580718994
64,float16,False,FP8Linear,cuda,Backward Time (ms),0.23614081144332888
64,float16,False,FP8Linear,cuda,Forward Peak Memory (GB),0.017057792
64,float16,False,FP8Linear,cuda,Backward Peak Memory (GB),0.017074688
64,bfloat16,False,FP8Linear,cuda,Forward Time (ms),0.05416960120201111
64,bfloat16,False,FP8Linear,cuda,Backward Time (ms),0.23541761040687562
64,bfloat16,False,FP8Linear,cuda,Forward Peak Memory (GB),0.017057792
64,bfloat16,False,FP8Linear,cuda,Backward Peak Memory (GB),0.017074688
64,float32,False,FP8Linear,cuda,Forward Time (ms),0.054067200422286986
64,float32,False,FP8Linear,cuda,Backward Time (ms),0.23398399949073792
64,float32,False,FP8Linear,cuda,Forward Peak Memory (GB),0.017057792
64,float32,False,FP8Linear,cuda,Backward Peak Memory (GB),0.017074688
128,float16,False,FP8Linear,cuda,Forward Time (ms),0.054473602771759035
128,float16,False,FP8Linear,cuda,Backward Time (ms),0.2352159857749939
128,float16,False,FP8Linear,cuda,Forward Peak Memory (GB),0.017106944
128,float16,False,FP8Linear,cuda,Backward Peak Memory (GB),0.017172992
128,bfloat16,False,FP8Linear,cuda,Forward Time (ms),0.055379199981689456
128,bfloat16,False,FP8Linear,cuda,Backward Time (ms),0.2535615921020508
128,bfloat16,False,FP8Linear,cuda,Forward Peak Memory (GB),0.017106944
128,bfloat16,False,FP8Linear,cuda,Backward Peak Memory (GB),0.017172992
128,float32,False,FP8Linear,cuda,Forward Time (ms),0.054281598329544066
128,float32,False,FP8Linear,cuda,Backward Time (ms),0.23397440314292908
128,float32,False,FP8Linear,cuda,Forward Peak Memory (GB),0.017106944
128,float32,False,FP8Linear,cuda,Backward Peak Memory (GB),0.017172992
512,float16,False,FP8Linear,cuda,Forward Time (ms),0.056729602813720706
512,float16,False,FP8Linear,cuda,Backward Time (ms),0.25917439460754393
512,float16,False,FP8Linear,cuda,Forward Peak Memory (GB),0.018094592
512,float16,False,FP8Linear,cuda,Backward Peak Memory (GB),0.01914368
512,bfloat16,False,FP8Linear,cuda,Forward Time (ms),0.0474016010761261
512,bfloat16,False,FP8Linear,cuda,Backward Time (ms),0.25723840594291686
512,bfloat16,False,FP8Linear,cuda,Forward Peak Memory (GB),0.018094592
512,bfloat16,False,FP8Linear,cuda,Backward Peak Memory (GB),0.01914368
512,float32,False,FP8Linear,cuda,Forward Time (ms),0.04544639885425568
512,float32,False,FP8Linear,cuda,Backward Time (ms),0.2663648098707199
512,float32,False,FP8Linear,cuda,Forward Peak Memory (GB),0.018094592
512,float32,False,FP8Linear,cuda,Backward Peak Memory (GB),0.01914368
1024,float16,False,FP8Linear,cuda,Forward Time (ms),0.045363199710845944
1024,float16,False,FP8Linear,cuda,Backward Time (ms),0.27084800004959103
1024,float16,False,FP8Linear,cuda,Forward Peak Memory (GB),0.021246464
1024,float16,False,FP8Linear,cuda,Backward Peak Memory (GB),0.02544128
1024,bfloat16,False,FP8Linear,cuda,Forward Time (ms),0.04862399995326996
1024,bfloat16,False,FP8Linear,cuda,Backward Time (ms),0.28130880892276766
1024,bfloat16,False,FP8Linear,cuda,Forward Peak Memory (GB),0.021246464
1024,bfloat16,False,FP8Linear,cuda,Backward Peak Memory (GB),0.02544128
1024,float32,False,FP8Linear,cuda,Forward Time (ms),0.04761599898338318
1024,float32,False,FP8Linear,cuda,Backward Time (ms),0.27514880299568173
1024,float32,False,FP8Linear,cuda,Forward Peak Memory (GB),0.021246464
1024,float32,False,FP8Linear,cuda,Backward Peak Memory (GB),0.02544128
2048,float16,False,FP8Linear,cuda,Forward Time (ms),0.048230400681495665
2048,float16,False,FP8Linear,cuda,Backward Time (ms),0.31815679967403415
2048,float16,False,FP8Linear,cuda,Forward Peak Memory (GB),0.033841664
2048,float16,False,FP8Linear,cuda,Backward Peak Memory (GB),0.050619392
2048,bfloat16,False,FP8Linear,cuda,Forward Time (ms),0.04720639884471893
2048,bfloat16,False,FP8Linear,cuda,Backward Time (ms),0.3319808036088943
2048,bfloat16,False,FP8Linear,cuda,Forward Peak Memory (GB),0.033841664
2048,bfloat16,False,FP8Linear,cuda,Backward Peak Memory (GB),0.050619392
2048,float32,False,FP8Linear,cuda,Forward Time (ms),0.04710400104522705
2048,float32,False,FP8Linear,cuda,Backward Time (ms),0.3171328067779541
2048,float32,False,FP8Linear,cuda,Forward Peak Memory (GB),0.033841664
2048,float32,False,FP8Linear,cuda,Backward Peak Memory (GB),0.050619392
4096,float16,False,FP8Linear,cuda,Forward Time (ms),0.26943039894104004
4096,float16,False,FP8Linear,cuda,Backward Time (ms),0.9779039859771728
4096,float16,False,FP8Linear,cuda,Forward Peak Memory (GB),0.084197888
4096,float16,False,FP8Linear,cuda,Backward Peak Memory (GB),0.151307264
4096,bfloat16,False,FP8Linear,cuda,Forward Time (ms),0.2747231960296631
4096,bfloat16,False,FP8Linear,cuda,Backward Time (ms),0.977833604812622
4096,bfloat16,False,FP8Linear,cuda,Forward Peak Memory (GB),0.084197888
4096,bfloat16,False,FP8Linear,cuda,Backward Peak Memory (GB),0.151307264
4096,float32,False,FP8Linear,cuda,Forward Time (ms),0.274019193649292
4096,float32,False,FP8Linear,cuda,Backward Time (ms),0.9786400318145752
4096,float32,False,FP8Linear,cuda,Forward Peak Memory (GB),0.084197888
4096,float32,False,FP8Linear,cuda,Backward Peak Memory (GB),0.151307264
