dim,hidden_mult,activation,dtype,fp8,class,device,measurement,value
128,2,relu,float32,False,MLP,cuda,Forward Time (ms),0.10013120174407959
128,2,relu,float32,False,MLP,cuda,Backward Time (ms),0.47607357501983644
128,2,relu,float32,False,MLP,cuda,Forward Peak Memory (GB),0.01887488
128,2,relu,float32,False,MLP,cuda,Backward Peak Memory (GB),0.019530752
128,2,relu,float32,False,PreCompiledMLP,cuda,Forward Time (ms),0.281497597694397
128,2,relu,float32,False,PreCompiledMLP,cuda,Backward Time (ms),0.415120005607605
128,2,relu,float32,False,PreCompiledMLP,cuda,Forward Peak Memory (GB),0.018612736
128,2,relu,float32,False,PreCompiledMLP,cuda,Backward Peak Memory (GB),0.019268608
128,2,relu,float16,False,MLP,cuda,Forward Time (ms),0.27004480361938477
128,2,relu,float16,False,MLP,cuda,Backward Time (ms),0.47706561088562016
128,2,relu,float16,False,MLP,cuda,Forward Peak Memory (GB),0.018088448
128,2,relu,float16,False,MLP,cuda,Backward Peak Memory (GB),0.018482176
128,2,relu,float16,False,PreCompiledMLP,cuda,Forward Time (ms),0.36823039054870604
128,2,relu,float16,False,PreCompiledMLP,cuda,Backward Time (ms),0.4419616222381592
128,2,relu,float16,False,PreCompiledMLP,cuda,Forward Peak Memory (GB),0.018022912
128,2,relu,float16,False,PreCompiledMLP,cuda,Backward Peak Memory (GB),0.018351104
128,2,relu,bfloat16,False,MLP,cuda,Forward Time (ms),0.25282559394836424
128,2,relu,bfloat16,False,MLP,cuda,Backward Time (ms),0.4819104194641114
128,2,relu,bfloat16,False,MLP,cuda,Forward Peak Memory (GB),0.018088448
128,2,relu,bfloat16,False,MLP,cuda,Backward Peak Memory (GB),0.018482176
128,2,relu,bfloat16,False,PreCompiledMLP,cuda,Forward Time (ms),0.32286720275878905
128,2,relu,bfloat16,False,PreCompiledMLP,cuda,Backward Time (ms),0.45118398666381837
128,2,relu,bfloat16,False,PreCompiledMLP,cuda,Forward Peak Memory (GB),0.018022912
128,2,relu,bfloat16,False,PreCompiledMLP,cuda,Backward Peak Memory (GB),0.018351104
