dim,hidden_mult,activation,dtype,fp8,class,device,measurement,value
128,2,relu,float32,False,MLP,mps,Forward Time (ms),0.2572875004261732
128,2,relu,float32,False,MLP,mps,Backward Time (ms),0.7007082982454449
128,2,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.23236250272020698
128,2,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.589487497927621
128,2,relu,float16,False,MLP,mps,Forward Time (ms),0.2730167005211115
128,2,relu,float16,False,MLP,mps,Backward Time (ms),0.7824875006917864
128,2,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.2539374982006848
128,2,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.6665833003353328
128,2,relu,bfloat16,False,MLP,mps,Forward Time (ms),0.30455830274149776
128,2,relu,bfloat16,False,MLP,mps,Backward Time (ms),0.722929195035249
128,2,relu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.25687909801490605
128,2,relu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.5393626051954925
128,2,relu2,float32,False,MLP,mps,Forward Time (ms),0.2906665962655097
128,2,relu2,float32,False,MLP,mps,Backward Time (ms),1.0114043019711971
128,2,relu2,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.24420839617960155
128,2,relu2,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.5088541016448289
128,2,relu2,float16,False,MLP,mps,Forward Time (ms),0.37012919783592224
128,2,relu2,float16,False,MLP,mps,Backward Time (ms),0.916116702137515
128,2,relu2,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.25102910003624856
128,2,relu2,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.5699167028069496
128,2,relu2,bfloat16,False,MLP,mps,Forward Time (ms),0.6336999998893589
128,2,relu2,bfloat16,False,MLP,mps,Backward Time (ms),0.7204374996945262
128,2,relu2,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.27550000231713057
128,2,relu2,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.5482791981194168
128,2,silu,float32,False,MLP,mps,Forward Time (ms),0.21678750053979456
128,2,silu,float32,False,MLP,mps,Backward Time (ms),0.5144124967046082
128,2,silu,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.19927080138586462
128,2,silu,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.47054170281626284
128,2,silu,float16,False,MLP,mps,Forward Time (ms),0.26448339922353625
128,2,silu,float16,False,MLP,mps,Backward Time (ms),0.6842458038590848
128,2,silu,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.242079101735726
128,2,silu,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.5253625975456089
128,2,silu,bfloat16,False,MLP,mps,Forward Time (ms),0.26188750052824616
128,2,silu,bfloat16,False,MLP,mps,Backward Time (ms),0.5555541021749377
128,2,silu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.33875409862957895
128,2,silu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.85916260140948
128,4,relu,float32,False,MLP,mps,Forward Time (ms),0.48059580149129033
128,4,relu,float32,False,MLP,mps,Backward Time (ms),1.305783400312066
128,4,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.32231250079348683
128,4,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.5014666996430606
128,4,relu,float16,False,MLP,mps,Forward Time (ms),0.3361624956596643
128,4,relu,float16,False,MLP,mps,Backward Time (ms),0.5350666062440723
128,4,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.3394500003196299
128,4,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.5229041969869286
128,4,relu,bfloat16,False,MLP,mps,Forward Time (ms),0.7620374963153154
128,4,relu,bfloat16,False,MLP,mps,Backward Time (ms),0.5057709000539035
128,4,relu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.2756333036813885
128,4,relu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.4608166986145079
128,4,relu2,float32,False,MLP,mps,Forward Time (ms),0.3922042029444128
128,4,relu2,float32,False,MLP,mps,Backward Time (ms),0.7175165927037597
128,4,relu2,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.9385874960571527
