lr,beta1,beta2,weight_decay,class,device,measurement,value
0.1,0.8,0.99,0.1,AdamW,mps,avg_step_time_ms,5.5770125007256866
0.1,0.8,0.99,0.1,AdamW,mps,loss_reduction_pct,37.0745845041252
0.1,0.8,0.99,0.1,AdamW,mps,loss_reduction_per_ms,6.647749937677387
0.1,0.8,0.99,0.01,AdamW,mps,avg_step_time_ms,5.294812488136813
0.1,0.8,0.99,0.01,AdamW,mps,loss_reduction_pct,-354.5224307050904
0.1,0.8,0.99,0.01,AdamW,mps,loss_reduction_per_ms,-66.9565601235943
0.1,0.8,0.99,0.001,AdamW,mps,avg_step_time_ms,5.232074891682714
0.1,0.8,0.99,0.001,AdamW,mps,loss_reduction_pct,26.23345323621205
0.1,0.8,0.99,0.001,AdamW,mps,loss_reduction_per_ms,5.01396745637465
0.1,0.8,0.999,0.1,AdamW,mps,avg_step_time_ms,5.316595605108887
0.1,0.8,0.999,0.1,AdamW,mps,loss_reduction_pct,-51.16693917728254
0.1,0.8,0.999,0.1,AdamW,mps,loss_reduction_per_ms,-9.624004339941633
0.1,0.8,0.999,0.01,AdamW,mps,avg_step_time_ms,5.120633193291724
0.1,0.8,0.999,0.01,AdamW,mps,loss_reduction_pct,-598.154066850759
0.1,0.8,0.999,0.01,AdamW,mps,loss_reduction_per_ms,-116.81251991147691
0.1,0.8,0.999,0.001,AdamW,mps,avg_step_time_ms,5.404270812869072
0.1,0.8,0.999,0.001,AdamW,mps,loss_reduction_pct,-118.1510177358445
0.1,0.8,0.999,0.001,AdamW,mps,loss_reduction_per_ms,-21.862527217269363
0.1,0.8,0.9999,0.1,AdamW,mps,avg_step_time_ms,5.319149990100414
0.1,0.8,0.9999,0.1,AdamW,mps,loss_reduction_pct,-25.172768933900613
0.1,0.8,0.9999,0.1,AdamW,mps,loss_reduction_per_ms,-4.732479621885114
0.1,0.8,0.9999,0.01,AdamW,mps,avg_step_time_ms,5.257233488373458
0.1,0.8,0.9999,0.01,AdamW,mps,loss_reduction_pct,3.6624034000910592
0.1,0.8,0.9999,0.01,AdamW,mps,loss_reduction_per_ms,0.6966408108353153
0.1,0.8,0.9999,0.001,AdamW,mps,avg_step_time_ms,5.354283400811255
0.1,0.8,0.9999,0.001,AdamW,mps,loss_reduction_pct,-239.6297134112641
0.1,0.8,0.9999,0.001,AdamW,mps,loss_reduction_per_ms,-44.75476837385122
0.1,0.9,0.99,0.1,AdamW,mps,avg_step_time_ms,5.338204198051244
0.1,0.9,0.99,0.1,AdamW,mps,loss_reduction_pct,-1513.7380154873863
0.1,0.9,0.99,0.1,AdamW,mps,loss_reduction_per_ms,-283.5668999024033
0.1,0.9,0.99,0.01,AdamW,mps,avg_step_time_ms,5.368662596447393
0.1,0.9,0.99,0.01,AdamW,mps,loss_reduction_pct,5.809203060363111
0.1,0.9,0.99,0.01,AdamW,mps,loss_reduction_per_ms,1.0820577669021774
0.1,0.9,0.99,0.001,AdamW,mps,avg_step_time_ms,5.3314624121412635
0.1,0.9,0.99,0.001,AdamW,mps,loss_reduction_pct,-222.0290242861295
0.1,0.9,0.99,0.001,AdamW,mps,loss_reduction_per_ms,-41.645051042750666
0.1,0.9,0.999,0.1,AdamW,mps,avg_step_time_ms,5.272216582670808
0.1,0.9,0.999,0.1,AdamW,mps,loss_reduction_pct,-170.7515203234904
0.1,0.9,0.999,0.1,AdamW,mps,loss_reduction_per_ms,-32.38704587454388
0.1,0.9,0.999,0.01,AdamW,mps,avg_step_time_ms,6.098791607655585
0.1,0.9,0.999,0.01,AdamW,mps,loss_reduction_pct,-83.12207700974787
0.1,0.9,0.999,0.01,AdamW,mps,loss_reduction_per_ms,-13.629269920521276
0.1,0.9,0.999,0.001,AdamW,mps,avg_step_time_ms,5.319470498943701
0.1,0.9,0.999,0.001,AdamW,mps,loss_reduction_pct,6.471923434368213
0.1,0.9,0.999,0.001,AdamW,mps,loss_reduction_per_ms,1.2166480546613345
0.1,0.9,0.9999,0.1,AdamW,mps,avg_step_time_ms,5.239137494936585
0.1,0.9,0.9999,0.1,AdamW,mps,loss_reduction_pct,-74.99690166299777
0.1,0.9,0.9999,0.1,AdamW,mps,loss_reduction_per_ms,-14.314742022991236
0.1,0.9,0.9999,0.01,AdamW,mps,avg_step_time_ms,5.081891804002225
0.1,0.9,0.9999,0.01,AdamW,mps,loss_reduction_pct,2.538204783433393
0.1,0.9,0.9999,0.01,AdamW,mps,loss_reduction_per_ms,0.4994606106006505
0.1,0.9,0.9999,0.001,AdamW,mps,avg_step_time_ms,7.467512390576303
0.1,0.9,0.9999,0.001,AdamW,mps,loss_reduction_pct,6.246531924405573
0.1,0.9,0.9999,0.001,AdamW,mps,loss_reduction_per_ms,0.8364943501517911
0.1,0.95,0.99,0.1,AdamW,mps,avg_step_time_ms,5.29533329536207
0.1,0.95,0.99,0.1,AdamW,mps,loss_reduction_pct,-146.85217079814618
0.1,0.95,0.99,0.1,AdamW,mps,loss_reduction_per_ms,-27.732375396798346
0.1,0.95,0.99,0.01,AdamW,mps,avg_step_time_ms,5.384587502339855
0.1,0.95,0.99,0.01,AdamW,mps,loss_reduction_pct,-266.8685643461626
0.1,0.95,0.99,0.01,AdamW,mps,loss_reduction_per_ms,-49.561561443693826
0.1,0.95,0.99,0.001,AdamW,mps,avg_step_time_ms,5.285379296401516
0.1,0.95,0.99,0.001,AdamW,mps,loss_reduction_pct,-17.757711471725624
0.1,0.95,0.99,0.001,AdamW,mps,loss_reduction_per_ms,-3.359779965804108
0.1,0.95,0.999,0.1,AdamW,mps,avg_step_time_ms,5.823746003443375
0.1,0.95,0.999,0.1,AdamW,mps,loss_reduction_pct,-400.62446141554756
0.1,0.95,0.999,0.1,AdamW,mps,loss_reduction_per_ms,-68.79154090488707
0.1,0.95,0.999,0.01,AdamW,mps,avg_step_time_ms,5.241133493836969
0.1,0.95,0.999,0.01,AdamW,mps,loss_reduction_pct,-154.26416491605494
0.1,0.95,0.999,0.01,AdamW,mps,loss_reduction_per_ms,-29.433359233733245
0.1,0.95,0.999,0.001,AdamW,mps,avg_step_time_ms,5.430787295335904
0.1,0.95,0.999,0.001,AdamW,mps,loss_reduction_pct,-489.61679000808954
0.1,0.95,0.999,0.001,AdamW,mps,loss_reduction_per_ms,-90.15576626036977
0.1,0.95,0.9999,0.1,AdamW,mps,avg_step_time_ms,5.062587594147772
0.1,0.95,0.9999,0.1,AdamW,mps,loss_reduction_pct,-403.43342769877023
0.1,0.95,0.9999,0.1,AdamW,mps,loss_reduction_per_ms,-79.6891747937615
0.1,0.95,0.9999,0.01,AdamW,mps,avg_step_time_ms,5.340583308134228
0.1,0.95,0.9999,0.01,AdamW,mps,loss_reduction_pct,-107.74172237550654
0.1,0.95,0.9999,0.01,AdamW,mps,loss_reduction_per_ms,-20.17414880719217
0.1,0.95,0.9999,0.001,AdamW,mps,avg_step_time_ms,5.208366911392659
0.1,0.95,0.9999,0.001,AdamW,mps,loss_reduction_pct,-55.90071016711461
0.1,0.95,0.9999,0.001,AdamW,mps,loss_reduction_per_ms,-10.732867157426776
0.01,0.8,0.99,0.1,AdamW,mps,avg_step_time_ms,5.242337699746713
0.01,0.8,0.99,0.1,AdamW,mps,loss_reduction_pct,93.33259426752338
0.01,0.8,0.99,0.1,AdamW,mps,loss_reduction_per_ms,17.803621134905676
0.01,0.8,0.99,0.01,AdamW,mps,avg_step_time_ms,5.150833202060312
0.01,0.8,0.99,0.01,AdamW,mps,loss_reduction_pct,93.17620777822184
0.01,0.8,0.99,0.01,AdamW,mps,loss_reduction_per_ms,18.089540880677664
0.01,0.8,0.99,0.001,AdamW,mps,avg_step_time_ms,5.109724903013557
0.01,0.8,0.99,0.001,AdamW,mps,loss_reduction_pct,93.26490876907039
0.01,0.8,0.99,0.001,AdamW,mps,loss_reduction_per_ms,18.252432477150702
0.01,0.8,0.999,0.1,AdamW,mps,avg_step_time_ms,5.434112600050867
0.01,0.8,0.999,0.1,AdamW,mps,loss_reduction_pct,93.19606017362264
0.01,0.8,0.999,0.1,AdamW,mps,loss_reduction_per_ms,17.15018937457245
0.01,0.8,0.999,0.01,AdamW,mps,avg_step_time_ms,11.175991804338992
0.01,0.8,0.999,0.01,AdamW,mps,loss_reduction_pct,93.29123213753981
0.01,0.8,0.999,0.01,AdamW,mps,loss_reduction_per_ms,8.347467837379787
0.01,0.8,0.999,0.001,AdamW,mps,avg_step_time_ms,6.177587492857128
0.01,0.8,0.999,0.001,AdamW,mps,loss_reduction_pct,93.35336987226522
0.01,0.8,0.999,0.001,AdamW,mps,loss_reduction_per_ms,15.111622454591796
0.01,0.8,0.9999,0.1,AdamW,mps,avg_step_time_ms,5.156841693678871
0.01,0.8,0.9999,0.1,AdamW,mps,loss_reduction_pct,93.1967334820676
0.01,0.8,0.9999,0.1,AdamW,mps,loss_reduction_per_ms,18.07244414663841
0.01,0.8,0.9999,0.01,AdamW,mps,avg_step_time_ms,5.218195903580636
0.01,0.8,0.9999,0.01,AdamW,mps,loss_reduction_pct,93.31256358361496
