lr,momentum,ns_steps,class,device,measurement,value
0.1,0.9,3,Muon,mps,avg_step_time_ms,6.257974705658853
0.1,0.9,3,Muon,mps,loss_reduction_pct,90.42532884513936
0.1,0.9,3,Muon,mps,loss_reduction_per_ms,14.449615586232893
0.1,0.9,5,Muon,mps,avg_step_time_ms,9.288820892106742
0.1,0.9,5,Muon,mps,loss_reduction_pct,89.60239633790613
0.1,0.9,5,Muon,mps,loss_reduction_per_ms,9.64626160614708
0.1,0.9,7,Muon,mps,avg_step_time_ms,11.74480828922242
0.1,0.9,7,Muon,mps,loss_reduction_pct,89.38948516884538
0.1,0.9,7,Muon,mps,loss_reduction_per_ms,7.6109786526590915
0.1,0.99,3,Muon,mps,avg_step_time_ms,6.280654307920486
0.1,0.99,3,Muon,mps,loss_reduction_pct,87.74467137099117
0.1,0.99,3,Muon,mps,loss_reduction_per_ms,13.970625840740354
0.1,0.99,5,Muon,mps,avg_step_time_ms,9.068404097342864
0.1,0.99,5,Muon,mps,loss_reduction_pct,86.08121006298258
0.1,0.99,5,Muon,mps,loss_reduction_per_ms,9.492432090471716
0.1,0.99,7,Muon,mps,avg_step_time_ms,12.053399998694658
0.1,0.99,7,Muon,mps,loss_reduction_pct,82.88125993487037
0.1,0.99,7,Muon,mps,loss_reduction_per_ms,6.876172693501098
0.1,0.999,3,Muon,mps,avg_step_time_ms,6.252495903754607
0.1,0.999,3,Muon,mps,loss_reduction_pct,87.10770163968283
0.1,0.999,3,Muon,mps,loss_reduction_per_ms,13.931668725664402
0.1,0.999,5,Muon,mps,avg_step_time_ms,9.211733401753008
0.1,0.999,5,Muon,mps,loss_reduction_pct,85.11967716666918
0.1,0.999,5,Muon,mps,loss_reduction_per_ms,9.240353954497941
0.1,0.999,7,Muon,mps,avg_step_time_ms,12.058229197282344
0.1,0.999,7,Muon,mps,loss_reduction_pct,85.90593564573074
0.1,0.999,7,Muon,mps,loss_reduction_per_ms,7.124257985168503
0.01,0.9,3,Muon,mps,avg_step_time_ms,6.025929294992238
0.01,0.9,3,Muon,mps,loss_reduction_pct,94.31981359029072
0.01,0.9,3,Muon,mps,loss_reduction_per_ms,15.652326632619777
0.01,0.9,5,Muon,mps,avg_step_time_ms,9.053637279430404
0.01,0.9,5,Muon,mps,loss_reduction_pct,94.31624211062326
0.01,0.9,5,Muon,mps,loss_reduction_per_ms,10.417497321756747
0.01,0.9,7,Muon,mps,avg_step_time_ms,11.916974995983765
0.01,0.9,7,Muon,mps,loss_reduction_pct,94.3739704503269
0.01,0.9,7,Muon,mps,loss_reduction_per_ms,7.919289121789097
0.01,0.99,3,Muon,mps,avg_step_time_ms,6.2969788908958435
0.01,0.99,3,Muon,mps,loss_reduction_pct,94.02074947878276
0.01,0.99,3,Muon,mps,loss_reduction_per_ms,14.931088559740566
0.01,0.99,5,Muon,mps,avg_step_time_ms,9.391283203149214
0.01,0.99,5,Muon,mps,loss_reduction_pct,93.94319128556644
0.01,0.99,5,Muon,mps,loss_reduction_per_ms,10.003232705628994
0.01,0.99,7,Muon,mps,avg_step_time_ms,12.288512598024681
0.01,0.99,7,Muon,mps,loss_reduction_pct,94.08049074083348
0.01,0.99,7,Muon,mps,loss_reduction_per_ms,7.655970565221739
0.01,0.999,3,Muon,mps,avg_step_time_ms,26.83677520835772
0.01,0.999,3,Muon,mps,loss_reduction_pct,93.98660436855307
0.01,0.999,3,Muon,mps,loss_reduction_per_ms,3.5021571570671806
0.01,0.999,5,Muon,mps,avg_step_time_ms,15.93121659825556
0.01,0.999,5,Muon,mps,loss_reduction_pct,93.90387865861433
0.01,0.999,5,Muon,mps,loss_reduction_per_ms,5.894331928730204
0.01,0.999,7,Muon,mps,avg_step_time_ms,20.595533098094165
0.01,0.999,7,Muon,mps,loss_reduction_pct,94.07918425900742
0.01,0.999,7,Muon,mps,loss_reduction_per_ms,4.567941204091151
0.001,0.9,3,Muon,mps,avg_step_time_ms,15.199024899629876
0.001,0.9,3,Muon,mps,loss_reduction_pct,23.478235488518248
0.001,0.9,3,Muon,mps,loss_reduction_per_ms,1.544719851672194
0.001,0.9,5,Muon,mps,avg_step_time_ms,16.493583208648488
0.001,0.9,5,Muon,mps,loss_reduction_pct,24.237149698502076
0.001,0.9,5,Muon,mps,loss_reduction_per_ms,1.4694896428444493
0.001,0.9,7,Muon,mps,avg_step_time_ms,25.06845840252936
0.001,0.9,7,Muon,mps,loss_reduction_pct,24.012331965503687
0.001,0.9,7,Muon,mps,loss_reduction_per_ms,0.9578703077761211
0.001,0.99,3,Muon,mps,avg_step_time_ms,13.416808302281424
0.001,0.99,3,Muon,mps,loss_reduction_pct,23.5866565323232
0.001,0.99,3,Muon,mps,loss_reduction_per_ms,1.7579931084140534
0.001,0.99,5,Muon,mps,avg_step_time_ms,17.61886240565218
0.001,0.99,5,Muon,mps,loss_reduction_pct,24.32464258056916
0.001,0.99,5,Muon,mps,loss_reduction_per_ms,1.3806023351862802
0.001,0.99,7,Muon,mps,avg_step_time_ms,20.096808311063796
0.001,0.99,7,Muon,mps,loss_reduction_pct,24.1350633618725
0.001,0.99,7,Muon,mps,loss_reduction_per_ms,1.200940118863827
0.001,0.999,3,Muon,mps,avg_step_time_ms,12.807116395561025
0.001,0.999,3,Muon,mps,loss_reduction_pct,23.60617733876202
0.001,0.999,3,Muon,mps,loss_reduction_per_ms,1.843207839271608
0.001,0.999,5,Muon,mps,avg_step_time_ms,19.120562495663762
0.001,0.999,5,Muon,mps,loss_reduction_pct,24.339129492280403
0.001,0.999,5,Muon,mps,loss_reduction_per_ms,1.272929575047812
0.001,0.999,7,Muon,mps,avg_step_time_ms,22.64050410594791
0.001,0.999,7,Muon,mps,loss_reduction_pct,24.158722914507756
0.001,0.999,7,Muon,mps,loss_reduction_per_ms,1.0670576415372743
0.0001,0.9,3,Muon,mps,avg_step_time_ms,12.262516806367785
0.0001,0.9,3,Muon,mps,loss_reduction_pct,5.433974898543086
0.0001,0.9,3,Muon,mps,loss_reduction_per_ms,0.443136999063788
0.0001,0.9,5,Muon,mps,avg_step_time_ms,17.19857490970753
0.0001,0.9,5,Muon,mps,loss_reduction_pct,5.518493241604511
0.0001,0.9,5,Muon,mps,loss_reduction_per_ms,0.3208692156516796
0.0001,0.9,7,Muon,mps,avg_step_time_ms,18.760387500515208
0.0001,0.9,7,Muon,mps,loss_reduction_pct,5.493912660717322
0.0001,0.9,7,Muon,mps,loss_reduction_per_ms,0.2928464383033903
