dim,hidden_mult,activation,dtype,fp8,class,device,measurement,value
128,2,relu,float32,False,GatedMLP,cuda,Forward Time (ms),0.16752640008926392
128,2,relu,float32,False,GatedMLP,cuda,Backward Time (ms),0.7342080473899841
128,2,relu,float32,False,GatedMLP,cuda,Forward Peak Memory (GB),0.018809344
128,2,relu,float32,False,GatedMLP,cuda,Backward Peak Memory (GB),0.019137536
128,2,relu,float32,False,PreCompiledGatedMLP,cuda,Forward Time (ms),0.2880608081817627
128,2,relu,float32,False,PreCompiledGatedMLP,cuda,Backward Time (ms),0.5091231822967529
128,2,relu,float32,False,PreCompiledGatedMLP,cuda,Forward Peak Memory (GB),0.018809344
128,2,relu,float32,False,PreCompiledGatedMLP,cuda,Backward Peak Memory (GB),0.018875392
128,2,relu,float16,False,GatedMLP,cuda,Forward Time (ms),0.19856959581375122
128,2,relu,float16,False,GatedMLP,cuda,Backward Time (ms),0.7277408480644226
128,2,relu,float16,False,GatedMLP,cuda,Forward Peak Memory (GB),0.01805568
128,2,relu,float16,False,GatedMLP,cuda,Backward Peak Memory (GB),0.018220032
128,2,relu,float16,False,PreCompiledGatedMLP,cuda,Forward Time (ms),0.4556608200073242
128,2,relu,float16,False,PreCompiledGatedMLP,cuda,Backward Time (ms),0.4779199600219727
128,2,relu,float16,False,PreCompiledGatedMLP,cuda,Forward Peak Memory (GB),0.01805568
128,2,relu,float16,False,PreCompiledGatedMLP,cuda,Backward Peak Memory (GB),0.018121728
128,2,relu,bfloat16,False,GatedMLP,cuda,Forward Time (ms),0.19517439603805542
128,2,relu,bfloat16,False,GatedMLP,cuda,Backward Time (ms),0.716595184803009
128,2,relu,bfloat16,False,GatedMLP,cuda,Forward Peak Memory (GB),0.01805568
128,2,relu,bfloat16,False,GatedMLP,cuda,Backward Peak Memory (GB),0.018220032
128,2,relu,bfloat16,False,PreCompiledGatedMLP,cuda,Forward Time (ms),0.4509568214416504
128,2,relu,bfloat16,False,PreCompiledGatedMLP,cuda,Backward Time (ms),0.4819071769714356
